
> src\renderer\data\quests.json:24291:    "id": 760,
  src\renderer\data\quests.json:24292:    "code": "VFX-00760",
  src\renderer\data\quests.json:24293:    "title": {
  src\renderer\data\quests.json:24294:      "ru": "Multi-layer breakdown: воды с брызгами (3-5 слоёв)",
  src\renderer\data\quests.json:24295:      "en": "Multi-layer breakdown: воды с брызгами (3-5 слоёв)"
  src\renderer\data\quests.json:24296:    },
  src\renderer\data\quests.json:24297:    "category": "effects",
  src\renderer\data\quests.json:24298:    "difficulty": "advanced",
  src\renderer\data\quests.json:24299:    "description": {
  src\renderer\data\quests.json:24300:      "ru": "Разделение на: ядро, свечение, частицы, дым/пыль. Контроль opacity.",
  src\renderer\data\quests.json:24301:      "en": "Split into: core, glow, particles, smoke/dust. Opacity control."
  src\renderer\data\quests.json:24302:    },
  src\renderer\data\quests.json:24303:    "xp": 208,
> src\renderer\data\quests.json:24323:    "id": 761,
  src\renderer\data\quests.json:24324:    "code": "ANA-00761",
  src\renderer\data\quests.json:24325:    "title": {
  src\renderer\data\quests.json:24326:      "ru": "Anatomy breakdown for rigging: лицевой мимики",
  src\renderer\data\quests.json:24327:      "en": "Anatomy breakdown for rigging: Facial Expressions"
  src\renderer\data\quests.json:24328:    },
  src\renderer\data\quests.json:24329:    "category": "anatomy",
  src\renderer\data\quests.json:24330:    "difficulty": "master",
  src\renderer\data\quests.json:24331:    "description": {
  src\renderer\data\quests.json:24332:      "ru": "Подготовка листа для 3D/2D риггинга. Суставы, оси вращения, деформация.",
  src\renderer\data\quests.json:24333:      "en": "Подготовка листа для 3D/2D риггинга. Суставы, оси вращения, деформация."
  src\renderer\data\quests.json:24334:    },
  src\renderer\data\quests.json:24335:    "xp": 350,
> src\renderer\data\quests.json:24355:    "id": 762,
  src\renderer\data\quests.json:24356:    "code": "DRA-00762",
  src\renderer\data\quests.json:24357:    "title": {
  src\renderer\data\quests.json:24358:      "ru": "Line art: персонажа (со стабилизацией)",
  src\renderer\data\quests.json:24359:      "en": "Line art: персонажа (со стабилизацией)"
  src\renderer\data\quests.json:24360:    },
  src\renderer\data\quests.json:24361:    "category": "drawing",
  src\renderer\data\quests.json:24362:    "difficulty": "novice",
  src\renderer\data\quests.json:24363:    "description": {
  src\renderer\data\quests.json:24364:      "ru": "Создай чистый лайнарт. Используй streamline/stabilizer кисти.",
  src\renderer\data\quests.json:24365:      "en": "Create clean line art. Use streamline/stabilizer brushes."
  src\renderer\data\quests.json:24366:    },
  src\renderer\data\quests.json:24367:    "xp": 45,
> src\renderer\data\quests.json:24387:    "id": 763,
  src\renderer\data\quests.json:24388:    "code": "VFX-00763",
  src\renderer\data\quests.json:24389:    "title": {
  src\renderer\data\quests.json:24390:      "ru": "Industry brief execution: воды с брызгами",
  src\renderer\data\quests.json:24391:      "en": "Industry brief execution: Water Splashes"
  src\renderer\data\quests.json:24392:    },
  src\renderer\data\quests.json:24393:    "category": "effects",
  src\renderer\data\quests.json:24394:    "difficulty": "expert",
  src\renderer\data\quests.json:24395:    "description": {
  src\renderer\data\quests.json:24396:      "ru": "Профессиональная работа: соответствие ТЗ, полировка, готовность к продакшену.",
  src\renderer\data\quests.json:24397:      "en": "Professional work: compliance with brief, polish, production readiness."
  src\renderer\data\quests.json:24398:    },
  src\renderer\data\quests.json:24399:    "xp": 468,
> src\renderer\data\quests.json:24419:    "id": 764,
  src\renderer\data\quests.json:24420:    "code": "ANM-00764",
  src\renderer\data\quests.json:24421:    "title": {
  src\renderer\data\quests.json:24422:      "ru": "Jump & landing: вторичной анимации с амортизацией",
  src\renderer\data\quests.json:24423:      "en": "Jump & landing: Secondary Animation with Cushioning"
  src\renderer\data\quests.json:24424:    },
  src\renderer\data\quests.json:24425:    "category": "animation",
  src\renderer\data\quests.json:24426:    "difficulty": "advanced",
  src\renderer\data\quests.json:24427:    "description": {
  src\renderer\data\quests.json:24428:      "ru": "Сжатие перед стартом, фаза полёта, поглощение удара при приземлении.",
  src\renderer\data\quests.json:24429:      "en": "Compression before takeoff, flight phase, impact absorption on landing."
  src\renderer\data\quests.json:24430:    },
  src\renderer\data\quests.json:24431:    "xp": 201,
> src\renderer\data\quests.json:24451:    "id": 765,
  src\renderer\data\quests.json:24452:    "code": "VFX-00765",
  src\renderer\data\quests.json:24453:    "title": {
  src\renderer\data\quests.json:24454:      "ru": "Multi-layer breakdown: воды с брызгами (3-5 слоёв)",
  src\renderer\data\quests.json:24455:      "en": "Multi-layer breakdown: воды с брызгами (3-5 слоёв)"
  src\renderer\data\quests.json:24456:    },
  src\renderer\data\quests.json:24457:    "category": "effects",
  src\renderer\data\quests.json:24458:    "difficulty": "advanced",
  src\renderer\data\quests.json:24459:    "description": {
  src\renderer\data\quests.json:24460:      "ru": "Разделение на: ядро, свечение, частицы, дым/пыль. Контроль opacity.",
  src\renderer\data\quests.json:24461:      "en": "Split into: core, glow, particles, smoke/dust. Opacity control."
  src\renderer\data\quests.json:24462:    },
  src\renderer\data\quests.json:24463:    "xp": 206,
> src\renderer\data\quests.json:24483:    "id": 766,
  src\renderer\data\quests.json:24484:    "code": "STY-00766",
  src\renderer\data\quests.json:24485:    "title": {
  src\renderer\data\quests.json:24486:      "ru": "Framing: {} (rule of thirds)",
  src\renderer\data\quests.json:24487:      "en": "Framing: {} (rule of thirds)"
  src\renderer\data\quests.json:24488:    },
  src\renderer\data\quests.json:24489:    "category": "storytelling",
  src\renderer\data\quests.json:24490:    "difficulty": "novice",
  src\renderer\data\quests.json:24491:    "description": {
  src\renderer\data\quests.json:24492:      "ru": "Размести объект в сильных точках пересечения линий.",
  src\renderer\data\quests.json:24493:      "en": "Place subject at strong line intersection points."
  src\renderer\data\quests.json:24494:    },
  src\renderer\data\quests.json:24495:    "xp": 59,
> src\renderer\data\quests.json:24515:    "id": 767,
  src\renderer\data\quests.json:24516:    "code": "STY-00767",
  src\renderer\data\quests.json:24517:    "title": {
  src\renderer\data\quests.json:24518:      "ru": "Shot type: {} (wide/medium/close)",
  src\renderer\data\quests.json:24519:      "en": "Shot type: {} (wide/medium/close)"
  src\renderer\data\quests.json:24520:    },
  src\renderer\data\quests.json:24521:    "category": "storytelling",
  src\renderer\data\quests.json:24522:    "difficulty": "novice",
  src\renderer\data\quests.json:24523:    "description": {
  src\renderer\data\quests.json:24524:      "ru": "Выбери дистанцию камеры для передачи масштаба или эмоции. Среда: цифровые инструменты.",
